1597454781 INTERNAL *** MONITORD_STARTED ***
1597454776 INTERNAL *** DAGMAN_STARTED 113.0 ***
1597454781 create_dir_image_resize_wf_0_local SUBMIT 114.0 local - 1
1597454787 create_dir_image_resize_wf_0_local EXECUTE 114.0 local - 1
1597454789 create_dir_image_resize_wf_0_local JOB_TERMINATED 114.0 local - 1
1597454791 create_dir_image_resize_wf_0_local JOB_SUCCESS 0 local - 1
1597454791 create_dir_image_resize_wf_0_local POST_SCRIPT_STARTED 114.0 local - 1
1597454791 create_dir_image_resize_wf_0_local POST_SCRIPT_TERMINATED 114.0 local - 1
1597454796 create_dir_image_resize_wf_0_local POST_SCRIPT_SUCCESS 0 local - 1
1597454801 stage_in_remote_local_0_0 SUBMIT 115.0 local - 2
1597454801 stage_in_local_local_0_0 SUBMIT 116.0 local - 3
1597454802 stage_in_remote_local_0_0 EXECUTE 115.0 local - 2
1597454802 stage_in_local_local_0_0 EXECUTE 116.0 local - 3
1597454805 stage_in_remote_local_0_0 JOB_TERMINATED 115.0 local - 2
1597454806 stage_in_remote_local_0_0 JOB_SUCCESS 0 local - 2
1597454806 stage_in_remote_local_0_0 POST_SCRIPT_STARTED 115.0 local - 2
1597454806 stage_in_local_local_0_0 JOB_TERMINATED 116.0 local - 3
1597454806 stage_in_local_local_0_0 JOB_SUCCESS 0 local - 3
1597454806 stage_in_local_local_0_0 POST_SCRIPT_STARTED 116.0 local - 3
1597454807 stage_in_remote_local_0_0 POST_SCRIPT_TERMINATED 115.0 local - 2
1597454811 stage_in_remote_local_0_0 POST_SCRIPT_SUCCESS 0 local - 2
1597454807 stage_in_local_local_0_0 POST_SCRIPT_TERMINATED 116.0 local - 3
1597454811 stage_in_local_local_0_0 POST_SCRIPT_SUCCESS 0 local - 3
1597454817 image_resize_ID0000001 SUBMIT 117.0 condorpool - 4
1597454823 image_resize_ID0000001 EXECUTE 117.0 condorpool - 4
1597454826 image_resize_ID0000001 JOB_TERMINATED 117.0 condorpool - 4
1597454827 image_resize_ID0000001 JOB_SUCCESS 0 condorpool - 4
1597454827 image_resize_ID0000001 POST_SCRIPT_STARTED 117.0 condorpool - 4
1597454827 image_resize_ID0000001 POST_SCRIPT_TERMINATED 117.0 condorpool - 4
1597454832 image_resize_ID0000001 POST_SCRIPT_SUCCESS 0 condorpool - 4
1597454837 clean_up_local_level_3_0 SUBMIT 118.0 local - 5
1597454837 stage_out_local_local_0_0 SUBMIT 119.0 local - 6
1597454841 stage_out_local_local_0_0 EXECUTE 119.0 local - 6
1597454841 clean_up_local_level_3_0 EXECUTE 118.0 local - 5
1597454846 stage_out_local_local_0_0 JOB_TERMINATED 119.0 local - 6
1597454847 stage_out_local_local_0_0 JOB_SUCCESS 0 local - 6
1597454847 stage_out_local_local_0_0 POST_SCRIPT_STARTED 119.0 local - 6
1597454848 stage_out_local_local_0_0 POST_SCRIPT_TERMINATED 119.0 local - 6
1597454852 stage_out_local_local_0_0 POST_SCRIPT_SUCCESS 0 local - 6
1597454852 clean_up_local_level_3_0 JOB_TERMINATED 118.0 local - 5
1597454857 clean_up_local_level_3_0 JOB_SUCCESS 0 local - 5
1597454857 clean_up_local_level_3_0 POST_SCRIPT_STARTED 118.0 local - 5
1597454857 clean_up_local_level_4_0 SUBMIT 120.0 local - 7
1597454857 register_local_0_0 SUBMIT 121.0 local - 8
1597454858 clean_up_local_level_3_0 POST_SCRIPT_TERMINATED 118.0 local - 5
1597454862 clean_up_local_level_3_0 POST_SCRIPT_SUCCESS 0 local - 5
1597454862 clean_up_local_level_4_0 EXECUTE 120.0 local - 7
1597454862 register_local_0_0 EXECUTE 121.0 local - 8
1597454866 register_local_0_0 JOB_TERMINATED 121.0 local - 8
1597454867 register_local_0_0 JOB_SUCCESS 0 local - 8
1597454867 register_local_0_0 POST_SCRIPT_STARTED 121.0 local - 8
1597454867 register_local_0_0 POST_SCRIPT_TERMINATED 121.0 local - 8
1597454872 register_local_0_0 POST_SCRIPT_SUCCESS 0 local - 8
1597454870 clean_up_local_level_4_0 JOB_TERMINATED 120.0 local - 7
1597454872 clean_up_local_level_4_0 JOB_SUCCESS 0 local - 7
1597454872 clean_up_local_level_4_0 POST_SCRIPT_STARTED 120.0 local - 7
1597454872 clean_up_local_level_4_0 POST_SCRIPT_TERMINATED 120.0 local - 7
1597454877 clean_up_local_level_4_0 POST_SCRIPT_SUCCESS 0 local - 7
1597454883 cleanup_image_resize_wf_0_local SUBMIT 122.0 local - 9
1597454884 cleanup_image_resize_wf_0_local EXECUTE 122.0 local - 9
1597454886 cleanup_image_resize_wf_0_local JOB_TERMINATED 122.0 local - 9
1597454888 cleanup_image_resize_wf_0_local JOB_SUCCESS 0 local - 9
1597454888 cleanup_image_resize_wf_0_local POST_SCRIPT_STARTED 122.0 local - 9
1597454888 cleanup_image_resize_wf_0_local POST_SCRIPT_TERMINATED 122.0 local - 9
1597454893 cleanup_image_resize_wf_0_local POST_SCRIPT_SUCCESS 0 local - 9
1597454893 INTERNAL *** DAGMAN_FINISHED 0 ***
1597454895 INTERNAL *** MONITORD_FINISHED 0 ***
